rand_num course_code course_name amount duration isMust teacher method time_location student_bound ps
06106 MATH1201 微積分甲上 4 全年 必帶 傅斯緯 3 一6,7(新203)五1,2(新203) 120 統一教學.大二以上限20人.實習課另安排.
82070 Phys1006 普通物理學甲上 3 全年 必帶 趙元 2 二3,4(共204)五3,4(共204) 45 兼通識A7*。
61931 Phys1026 普通物理學實驗上 1 全年 必帶 高涌泉 2 三7,8,9(請洽系所辦) 65 教室請見舊物館一樓佈告欄。
25699 ME4110 工程發展與社會變遷 2 半年 選修 楊申語 2 四6,7(博雅103) 180 兼通識A7*。第一次上課未到者視同放棄。
11363 ME4116 現代科技與人類文明 2 半年 選修 楊申語 2 二6,7(博雅102) 180 兼通識A7*；本系學生修習者，不得採計為通識學分，僅得採計為選修學分。第一次上課未到者視同放棄。與朱士維、陳美如、楊雯如、張俊哲、謝冠雄、廖世偉合授
69259 ESOE1002 服務學習一 0 半年 必帶 郭振華 2 五5(工科視聽室) 15 教室：工科視聽室。
68685 ESOE1002 服務學習一 0 半年 必帶 許文翰 2 五5(請洽系所辦) 15 教室：工科視聽室。
80523 ESOE1003 服務學習二 0 半年 必帶 黃心豪 2 四5(工科207) 15 教室：工科207。
20540 ESOE1003 服務學習二 0 半年 必帶 丁肇隆 2 四5(請洽系所辦) 15 教室：工科207。
84778 ESOE1004 服務學習三 0 半年 必修 趙修武 2 三5(工科207) 50 與羅弘岳合授
46173 ESOE1025 計算機概論與程式設計上 2 全年 必帶 黃乾綱 2 一3,4(工科視聽室) 63
35018 ESOE1014 工程圖學 2 半年 必帶 陳宗傑 2 五7,8,9(請洽系所辦) 55 教室：工綜323。
36754 ESOE1028 船艦工程概論 2 半年 選修 蔡進發 2 四3,4(工科視聽室) 63
67081 ESOE2032 工程力學二 2 半年 必帶 黃心豪 2 一6,7(工科視聽室) 63 各領域必修。與李岳聯合授
88200 ESOE2004 邏輯電路 3 半年 必修 吳文中 2 二7,8,9(工科視聽室) 63 光機電資訊領域必修。
75153 ESOE2030 電子電路一 3 半年 必帶 陳昭宏 2 一8,9,10(請洽系所辦)五7,8,9(工科視聽室) 63 本課程以英語授課。含實驗課。實驗課請至教學實驗室上課。本課程英文化程度說明
48000 ESOE2006 流體力學 3 半年 必修 丁肇隆 2 三2,3,4(工科204) 51 船海應力計算領域必修。
41838 ESOE2012 資料結構 3 半年 必修 張恆華 2 五2,3,4(工科204) 51 光機電資訊領域必修。
25996 ESOE2033 材料科學 2 半年 必帶 李岳聯 2 二2,3,4(工科視聽室) 63 各領域必修。
79085 ESOE2020 熱力學 3 半年 必修 趙修武 2 二2,3,4(工科207) 52 船海應力計算領域必修。
82361 ESOE2021 工程數學一 3 半年 必帶 王昭男 2 一3,4(工科203)四7(工科203) 54 常微分方程、拉普拉斯轉換。各領域必修。
50554 ESOE2024 數值方法 3 半年 必修 戴璽恆 2 三7,8(工科203)五6(工科203) 54 船海應力計算領域必修。
62726 ESOE3003 工程及專業倫理 2 半年 選修 陳琪芳 2 五6,7(工綜B03) 75 選修兼通識A4*。第一次上課未到者視同放棄。A4之通識課程。與蔡甫昌、李志中、張俊哲、張時中、蘇國棟、歐陽明、王秀槐合授
83117 ESOE3007 電磁學 3 半年 必修 薛文証 2 三7,8,9(工科204) 51 光機電資訊領域必修。
28601 ESOE3041 阻力與推進 2 半年 選修 黃正利 3 二7,8(工科207) 52
47430 ESOE3042 工程數學三 3 半年 必修 黃維信 2 四2,3,4(工科204) 51 各領域必修。
76099 ESOE3032 振動學 3 半年 必修 黃心豪 2 一2,3,4(工科202) 56 船海應力計算領域必修。
54219 ESOE5001 專題研究(停開) 1 半年 選修 無 無 無 10 雙胴體船之結構強度分析。限大三、大四修，最多計入畢業應修學分4學?
30922 ESOE5001 專題研究(停開) 1 半年 選修 無 無 無 10 科學計算與應用。限大三、大四修，最多計入畢業應修學分4學分。
61981 ESOE5001 專題研究(停開) 1 半年 選修 無 無 無 10 光電與壓電系統。限大三、大四修，最多計入畢業4學分。
50281 ESOE5001 專題研究 1 半年 選修 蔡進發 2 無 10 風機監控資料分析。限大三、大四修，最多計入畢業應修學分4學分。
70432 ESOE5001 專題研究(停開) 1 半年 選修 無 無 無 10 限大三、大四修，最多計入畢業應修4學分。
54332 ESOE5001 專題研究(停開) 1 半年 選修 無 無 無 5 超音波原理與應用。限大三、大四修，最多計入畢業應修學分4學分。
15184 ESOE5001 專題研究 1 半年 選修 薛文証 1 無 10 電子與光電元件。限大三、大四修，最多計入畢業應修學分4學分。
87874 ESOE5001 專題研究(停開) 1 半年 選修 無 無 無 10 揚聲器製作。限大三、大四修，最多計入畢業4學分。
72398 ESOE5001 專題研究 1 半年 選修 陳琪芳 1 無 10 海洋聲學/虛擬智慧無人船。限大三、大四修，最多計入畢業應修學分4學分。
67317 ESOE5001 專題研究(停開) 1 半年 選修 無 無 無 10 水下機器人。限大三、大四修，最多計入畢業應修學分4學分。
67551 ESOE5001 專題研究 1 半年 選修 丁肇隆 2 無 5 影像辨識在日常生活中的應用。限大二~大四修，最多計入畢業應修學分4學分。
22611 ESOE5001 專題研究 1 半年 選修 張瑞益 1 無 10 工智慧應用。限大三、大四修，最多計入畢業應修學分4學分。
55366 ESOE5001 專題研究 1 半年 選修 吳文中 2 無 10 壓電能源轉換與無線感測網路。限大三、大四修，最多計入畢業應修學分4學分。
25661 ESOE5001 專題研究 1 半年 選修 黃乾綱 1 無 10 智慧型系統。限大三、大四修，最多計入畢業應修學分4學分。
39558 ESOE5001 專題研究(停開) 1 半年 選修 無 無 無 10 應用光學。限大三、大四修，最多計入畢業4學分。
83731 ESOE5001 專題研究 1 半年 選修 江茂雄 2 無 10 自動控制及應用。限大三、大四修，最多計入畢業應修學分4學分。
81100 ESOE5001 專題研究 1 半年 選修 陳昭宏 2 無 10 電子電路。限大三、大四修，最多計入畢業應修學分4學分。
58278 ESOE5001 專題研究 1 半年 選修 李坤彥 2 無 10 初選不開放。再生能源系統。限大二~大四修，最多計入畢業4學分。
54580 ESOE5001 專題研究 1 半年 選修 張恆華 2 無 10 生醫資訊與計算。限大三、大四修，最多計入畢業應修學分4學分。
49955 ESOE5001 專題研究(停開) 1 半年 選修 無 無 無 10 工程與科學視算。限大二以上修，最多計入畢業應修學分4學分。
43181 ESOE5001 專題研究 1 半年 選修 黃心豪 2 無 10 1.先進材料的微結構設計。2.離岸風機結構健康檢測。限大三、大四修，最多計入畢業應修學分4學分。
35529 ESOE5001 專題研究(停開) 1 半年 選修 無 無 無 10 腐蝕及防治。限大三、大四修，最多計入畢業應修學分4學分。
45126 ESOE5001 專題研究 1 半年 選修 戴璽恆 2 無 10 海洋溫鹽流動。限大三、大四修，最多計入畢業應修學分4學分。
34815 ESOE5001 專題研究 1 半年 選修 趙修武 2 無 10 熱流技術之工業應用。限大三、大四修，最多計入畢業應修學分4學分。
79578 ESOE5001 專題研究(停開) 1 半年 選修 無 無 無 10 波浪與海嘯相關研究。限大三、大四修，最多計入畢業應修學分4學分。
87095 ESOE5015 估測理論 3 半年 選修 郭振華 2 五2,3,4(工科201) 20
69250 ESOE5133 中等流體力學 3 半年 選修 蔡武廷 2 二2,3,4(工科203) 56
49893 ESOE5096 數位影像處理 3 半年 選修 張恆華 2 三2,3,4(工科202) 38
44458 ESOE5026 現代液氣壓伺服控制 3 半年 選修 江茂雄 2 二7,8,9(工科204) 51
67362 ESOE5029 複合材料力學 3 半年 選修 黃心豪 2 三3,4,5(工科206) 12
81049 ESOE5034 基本聲學 3 半年 選修 王昭男 2 三7,8,9(工科201) 45
17949 ESOE5048 控制系統分析及設計 3 半年 選修 江茂雄 2 五2,3,4(工科202) 56
75739 ESOE5114 海洋波浪力學 3 半年 必修 羅弘岳 2 一6,7,8(工科204) 51 船海應力計算領域必修。與陳琪芳合授
33368 ESOE5119 有限差分法 3 半年 選修 許文翰 2 四2,3,4(工科207) 52 本課程以英語授課。本課程英文化程度說明
29810 ESOE5113 自動控制 3 半年 必修 江茂雄 2 二2,3,4(工科204) 51 光機電資訊領域必修。
43122 ESOE5134 船體結構導論 3 半年 選修 李雅榮 2 四2,3,4(工科206) 15
88362 ESOE5057 近代物理 3 半年 選修 李佳翰 1 四7,8,9(工科206) 22
41800 ESOE5060 電子電路設計 3 半年 選修 吳文中 2 一7,8,9(工科202) 15
23337 ESOE5067 物件導向設計與模擬 3 半年 選修 黃乾綱 2 一7,8,9(工科127A) 40
63781 ESOE5070 資料庫系統 3 半年 選修 張瑞益 2 五2,3,4(工科127A) 20
22107 ESOE5075 平行計算 3 半年 選修 黃乾綱 2 四7,8,9(工科127A) 40
23528 ESOE5078 資料礦掘 3 半年 選修 張瑞益 2 三7,8,9(工科207) 52
67294 ESOE5094 高功率半導體元件設計分析 3 半年 選修 李坤彥 2 一6,7,8(工科206) 22
22699 ESOE5129 離岸風電海事工程 3 半年 選修 江茂雄 3 二A,B,C(工科視聽室) 63 與蔡進發、趙修武合授
55515 ESOE5135 離岸風力發電導論 3 半年 選修 江茂雄 2 四A,B,C(工科視聽室) 50
25688 AM5004 光機電系統設計與製造一 3 半年 選修 黃君偉 2 一A,B,C(應111) 98 與李世光合授
