流水號 課號 課程名稱 學分 全/半年 必/選修 教師 加選方式 時間教室 總人數 備註
06106 MATH1202 微積分甲下 4 全年 必帶 傅斯緯 3 一6,7(新203)五1,2(新203) 110 統一教學.大二以上限20人.實習課另安排.
67645 Phys1007 普通物理學甲下 3 全年 必帶 趙元 2 二3,4(共204)五3,4(共204) 45
61858 Phys1027 普通物理學實驗下 1 全年 必帶 林俊達 2 三7,8,9(請洽系所辦) 65 教室請見舊物館一樓佈告欄。
83435 Chem1009 普通化學丙 3 半年 必帶 劉銘璋 2 一3,4(請洽系所辦)四3,4(請洽系所辦) 250 初選不開放。本課程中文授課,使用英文教科書。請依指定修習院系班次修習。詳閱化學系選課須知。初選期間不開放通識課加選。
81947 Chem1010 普通化學實驗 1 半年 必帶 金必耀 2 五7,8,9(思亮106) 88 詳閱化學系選課須知。實驗須與課程併修或後修，期中停修課程者，實驗須填寫學生報告書一併辦理停修。
56477 ME4110 工程發展與社會變遷 2 半年 選修 楊申語 2 四6,7(博雅103) 180 兼通識，第一次上課未到者視同放棄；第五節有課外座談(自由參加)。
57582 ME4116 現代科技與人類文明 2 半年 選修 楊申語 2 二6,7(博雅102) 180 兼通識。第一次上課未到者視同放棄。可充抵通識2學分。與朱士維、陳美如、張俊哲、謝冠雄、廖世偉合授
42353 ESOE0004 服務學習甲 0 半年 必帶 李岳聯 2 五5(請洽系所辦) 15 教室：工科視聽室。
61931 ESOE0004 服務學習甲 0 半年 必帶 戴璽恆 2 五5(請洽系所辦) 15 教室：工科視聽室。
35018 ESOE1003 服務學習二 0 半年 必帶 王昭男 2 一5(請洽系所辦) 40 教室：工科視聽室。
80523 ESOE1003 服務學習二 0 半年 必帶 陳琪芳 2 一5(請洽系所辦) 40 教室：工科視聽室。
48000 ESOE1004 服務學習三 0 半年 必修 趙修武 2 三5(工科207) 50 與羅弘岳合授
69259 ESOE1005 工程及海工概論(停開) 0 半年 必帶 江茂雄 無 一2(工科視聽室) 63
68685 ESOE1024 工程力學一 2 半年 必帶 李岳聯 2 四6,7(工科視聽室) 63 與郭振華合授
95139 ESOE1029 工程及海工概論 1 半年 選修 江茂雄 2 一2(工科視聽室) 63
46173 ESOE1026 計算機概論與程式設計下 2 全年 必帶 張恆華 2 三2,3(工科204) 51
20540 ESOE2031 電子電路二 3 半年 必修 陳昭宏 2 三7,8,9(工科204)五7,8,9(工科204) 50 光機電資訊領域。含實驗課，實驗課請至教學實驗室上課。
67081 ESOE2013 物件導向程式語言 3 半年 必修 黃乾綱 2 一7,8,9(工科視聽室) 60 光機電資訊領域。
87091 ESOE2022 工程數學二 3 半年 必帶 蔡武廷 2 一3,4(工科203)四3(工科203) 54 各領域必修。
26901 ESOE3003 工程及專業倫理 2 半年 選修 陳琪芳 2 五6,7(綜301) 90 兼通識。不得採計為通識。第一次上課未到者視同放棄。A4*之通識課程。與蔡甫昌、廖先順、張俊哲、張時中、蘇國棟、歐陽明、王秀槐合授
88200 ESOE2001 結構學 3 半年 必修 黃心豪 2 三6,7,8(工科201) 45 船海應力計算領域。
82361 ESOE5001 專題研究 1 半年 選修 許文翰 2 無 10 科學計算與應用。限大三、大四修，最多計入畢業應修學分4學分。
50554 ESOE5001 專題研究(停開) 1 半年 選修 無 無 無 10 限大三、大四修，最多計入畢業應修學分4學分。
84778 ESOE5001 專題研究 1 半年 選修 宋家驥 2 無 10 初選不開放。超音波應用與實作。限大三、大四修，最多計入畢業應修學分4學分。
79085 ESOE5001 專題研究 1 半年 選修 薛文証 1 無 10 電子與光電元件。限大三、大四修，最多計入畢業應修學分4學分。
